Region,Prodotto
ABRUZZO,Maccheroni alla chitarra
ABRUZZO,"Maccheroni alla molinara, alla mugnaia"
ABRUZZO,Maccheroni con le ceppe
ABRUZZO,Pasta fatta in casa al ragù di papera
ABRUZZO,Ravioli dolci di ricotta
ABRUZZO,Sagne a pezze e cicerchie
ABRUZZO,"Sagne a pezze, Tacconelle"
ABRUZZO,"Scrippelle, Scrippelle teramane"
BASILICATA,Cavatelli con la mollica
BASILICATA,"Fusilli lucani, Fusilli con il ferretto, Fusidd', Ferretti, Ferricieddi, Firzuli, minnicchi, minuich"
BASILICATA,"Laghn e fasul, Lagane e fasul, Lagane e fagioli, "
BASILICATA,Maccarun cu fierr di mischiglio di Calvera
BASILICATA,Maccheroni dei Certosini della Grancia di San Demetrio
BASILICATA,"Manate e manatelle, Pasta a matassa, Manare"
BASILICATA,Ravioli
BASILICATA,"Tagliatelle, al 'Tratt di Oliveto Lucano"
BASILICATA,"Tagliolini con il latte, Tagliolini dell'Ascenzione, Tagghjulìni ku u làtt, Tagliulini dell'Ascension"
BASILICATA,"U’ frrcidd, maccherone"
BOLZANO,Knoedel (Canederli)
BOLZANO,Nocken (Gnocchi)
BOLZANO,Schlutzkrapfen (Ravioloni ripieni)
BOLZANO,"Zwetschgen-und marillenknödel (Canederli dolci con albicocca e prugne)"
CALABRIA,"Maccheroni con il sugo di capra, Maccaruni i casa cu sugu i capra"
CALABRIA,Pasta col ferretto
CALABRIA,Pasta fileja
CALABRIA,"Taglierini e ciciri, Laganelle e ciciri"
CAMPANIA,'Ndunderi
CAMPANIA,Cavatelli*
CAMPANIA,Pasta mischiata
CAMPANIA,Ravioli Capresi
CAMPANIA,Ravioli allo zenzifero di Quaglietta
CAMPANIA,Ravioli co la pettola
CAMPANIA,Tagliatelle  all'acciaccata
EMILIA-ROMAGNA,"Anolini, Anvein, Amvei, Anvei, Anven"
EMILIA-ROMAGNA,"Basotti, Bassotti, Tagliolini al forno, Bazòt, Bassot"
EMILIA-ROMAGNA,Bomba di tagliatelle
EMILIA-ROMAGNA,"Cappelletti all'uso di Romagna, Caplet"
EMILIA-ROMAGNA,"Cappelletti, Caplitt"
EMILIA-ROMAGNA,Cappelletto reggiano
EMILIA-ROMAGNA,"Garganelli, Garganell, Maccheroni al pettine"
EMILIA-ROMAGNA,"Gnocchetti con fagioli, Pisarei e fasò"
EMILIA-ROMAGNA,"Gnocchetti di pangrattato, Pisarei"
EMILIA-ROMAGNA,"Gnocchi, Gnocc"
EMILIA-ROMAGNA,"Gnocco di patate, Gnocchi di patate, Sgranfignone, Macarun s'al pateti, Gnòc"
EMILIA-ROMAGNA,Gramigna gialla
EMILIA-ROMAGNA,Gramigna paglia e fieno
EMILIA-ROMAGNA,Gramigna verde
EMILIA-ROMAGNA,"Maccheroni bobbiesi, Maccheron bubbies"
EMILIA-ROMAGNA,"Maltagliati, Puntarine, Malfatti, Malfattini, Meltajé, Maltajéd"
EMILIA-ROMAGNA,"Pappardelle, Al Papardel; Al Papardeli"
EMILIA-ROMAGNA,"Passatelli, Passatini, Pasadein, Pasadòin in bròd"
EMILIA-ROMAGNA,Pasta Margherita
EMILIA-ROMAGNA,"Pasta rasa, Pastarèsa, Pasta resa, Pasta ragia"
EMILIA-ROMAGNA,Pasticcio di cappelletti
EMILIA-ROMAGNA,"Pasticcio di maccheroni alla ferrarese, Al Pastiz"
EMILIA-ROMAGNA,Spaghetti con le poveracce
EMILIA-ROMAGNA,"Strozzapreti, Strozaprit"
EMILIA-ROMAGNA,Tagliatella bolognese
EMILIA-ROMAGNA,"Tagliatelle con gli stridoli, Tajadël cun i strìdul, Tajadël cun i strìgul, Tajadëli cun i stridle"
