Pasta,Region,Alternative Names
Acini di Pepe,Campania,Peppercorns
Agnolotti,Piemonte,Agnolotti del Plin
Alfabeto,Campania,
Andarinos,Sardegna,
Anelletti,Sicilia,Little rings
Anolini,Emilia-Romagna,"Anvein, Amvei, Anvei, Anven, Anolen"
Basotti,Emilia-Romagna,"Bassotti, Tagliolini al forno, Bazòt, Bassot"
Bavette,Liguria,Little drip-threads
Bigoli,Veneto,
Bringoli,Umbria,
Bucatini,Lazio,
Busiate,Sicilia,
Calamarata,Campania,
Campanelle,Toscana,Little bells
Canederli,Trentino-Alto Adige,Knoedel
Cannelloni,Campania,Big reeds
Capellini,Liguria,Angel Hair
Cappellacci,Emilia-Romagna,
Cappelletti,Emilia-Romagna,"Caplitt, Caplet, Cappelletto reggiano"
Capunti,Puglia,
Carrati,Campania,
Casarecce,Sicilia,
Casoncelli,Lombardia,Casunziei
Cavatappi,Campania,Corkscrews
Cavatelli,Puglia; Molise; Campania; Basilicata,"Cecatelli, Cavatielli, Cavatieddu"
Cencioni,Basilicata,Little rags
Ciciri e trya,Puglia,"Lasagne e ceci alla salentina, Lajana e cìcici, Làcana e cìceri, Massa, Massa e cìciri"
Ciriole,Umbria,
Cjalzòns,Friuli Venezia Giulia,
Conchiglie,Puglia,Shells
Corzetti,Liguria,Croxetti
Crespelle,Lazio; Sicilia,Scrippelle teramane
Creste di Gallo,Toscana,Rooster combs
Culurgiones,Sardegna,"Culingionis, Culurzones de patata e cazzau"
Ditalini,Campania,Little thimbles
Elicoidali,Campania,Helical
Farfalle,Lombardia; Emilia-Romagna,Butterflies
Fazzoletti,Liguria,Handkerchiefs
Fettuccine,Lazio,Little slices
Fileja,Calabria,"Filei, Pasta col ferretto"
Filindeu,Sardegna,Su Filindeu - Threads of God
Filini,Liguria,Little threads
Fregola,Sardegna,"Fregula, Fregola sarda"
Fusilli,Molise; Campania; Puglia; Basilicata,"Fusillo Avellinese, Fusillo di Felitto, Fusillo di Gioi, Fusillo furitano, Riccio furitano, Fusilli lucani, Fusilli con il ferretto, Fusidd', Ferretti, Ferricieddi, Firzuli, minnicchi, minuich"
Fusilli Lunghi,Campania,Long spindles
Garganelli,Emilia-Romagna,"Garganell, Maccheroni al pettine"
Gemelli,Puglia,Twins
Gigli,Toscana,Lilies
Gnocchi,Veneto,Gnocc
Gnocchi alla Bava,Valle d'Aosta,
Gnocchetti,Emilia-Romagna; Lazio; Sardegna,"Pisarei, Pisarei e fasò, Maccarones, Cravoas, Cigiones, Cigioni"
Gnochi de susini,Friuli Venezia Giulia,
Gnudi,Toscana,"Ravioli nudi, Strangolapreti, Strozzapreti, Gnocchi del casentino"
Gomiti,Veneto,Elbows
Gramigna,Emilia-Romagna,"Gramigna gialla, Gramigna verde, Gramigna paglia e fieno"
Lagane,Basilicata; Calabria; Puglia,"Laghn e fasul, Lagane e fasul, Lagane e fagioli"
Laganelle,Calabria,"Taglierini e ciciri, Laganelle e ciciri"
Lasagne,Emilia-Romagna,Lasagna
Lasagne bastarde,Toscana,Lasagne matte
Lasagne da fornèl,Veneto,
Lasagne Verde,Emilia-Romagna,Lasagna Verde
Linguine,Liguria,Little tongues
Lorighittas,Sardegna,
Lumaconi,Campania,Large snails
Maccaruni,Lazio; Sicilia; Basilicata,"Maccheroni, Maccaruna, Maccaruni Gavignanesi, Maccheroni a matassa, U' frrcidd, Maccarun cu fierr di mischiglio"
Maccheroni alla chitarra,Abruzzo,"Maccheroni alla molinara, alla mugnaia, Maccheroni con le ceppe"
Maccheroni bobbiesi,Emilia-Romagna,Maccheron bubbies
Maccheroni dei Certosini,Basilicata,Maccheroni dei Certosini della Grancia di San Demetrio
Maccheroni della Garfagnana,Toscana,
Mafaldine,Campania,Reginette
Malloreddus,Sardegna,Sardinian Gnocchi
Maltagliati,Emilia-Romagna; Lazio,"Puntarine, Malfatti, Malfattini, Meltajé, Maltajéd, Fregnacce"
Manate,Basilicata,"Manatelle, Pasta a matassa, Manare"
Manicotti,Campania,Little sleeves
Marubini,Lombardia,
Mezze Maniche,Lazio,Short sleeves
Michitus nieddus,Sardegna,Tagliatelle nere
Millerighe,Campania,1000 lines
'Ndunderi,Campania,
Nocken,Trentino-Alto Adige,Gnocchi
Orecchiette,Puglia; Molise; Sardegna,"Recchietelle, Tallutzas"
Orzo,Campania,Barley
Paccheri,Campania,Schiaffoni
Pansotti,Liguria,Raviolo alle erbette
Pappardelle,Toscana; Emilia-Romagna,"Al Papardel, Al Papardeli"
Passatelli,Marche; Emilia-Romagna; Umbria,"Passatini, Pasadein, Pasadòin in bròd"
Pasta di Antrodoco,Lazio,"spaghetti, bucatini, perciatelli, mezze maniche, rigatoni, linguine di passero"
Pasta imperiale,Molise,
Pasta Margherita,Emilia-Romagna,
Pasta mischiata,Campania,
Pasta rasa,Emilia-Romagna,"Pastarèsa, Pasta resa, Pasta ragia"
Pasta sciancà,Liguria,
Pastarelle,Lazio,Pastarelle col cremore
Penne Rigate,Liguria,
Pici,Toscana; Umbria,"Pinci, Pinci"
Pipe Rigate,Lazio,Pipes
Pizzoccheri,Lombardia,
Pizzoccheri bianchi,Lombardia,
Plin,Piemonte,
Quadrucci,Emilia-Romagna,Little squares
Rabaton,Piemonte,
Radiatori,Campania,Radiators
Ravioli,Liguria,
Ravioli Capresi,Campania,
Ravioli allo zenzifero,Campania,Ravioli allo zenzifero di Quaglietta
Ravioli co la pettola,Campania,
Ravioli con ricotta,Puglia; Campania,"Raviolo di ricotta di pecora"
Ravioli di patate,Lazio; Liguria; Sardegna,"Ravioli di patate rosse, Ravioli di patate con origano selvatico di Ardauli, Culurzones de patata cun nebidedda de Ardaule"
Ravioli dolci,Abruzzo; Sardegna,"Ravioli dolci di ricotta, Puligioni, Bruglioni, Pulicioni, Buldzoni, S'azza de casu, Coccias de casu, Culingioneddus de melairanni"
Ravioli scapolesi,Molise,
Ravioles,Piemonte,Ravioles della Val Varaita
Raviolo,Liguria; Lazio; Toscana,"Raviolo ligure, Raviolo magro, Raviolo di San Pancrazio, Tortello del melo"
Rigatoni,Lazio,
Risini,Campania,Little rice
Ruote,Lazio,Wheels
Sagne,Lazio; Abruzzo; Puglia,"Sagne a pezze, Tacconelle, Sagne 'ncannulate"
Sagnetelle,Molise,
Scarpinocc,Lombardia,
Scazzatiello,Campania,Cavatieddu
Schizzotto,Veneto,
Scialatiello,Campania,"Sciusciello, Sciuscello"
Sciuscella,Lazio,
Schlutzkrapfen,Trentino-Alto Adige,Ravioloni ripieni
Sedani,Campania,Celery stalks
Spaghetti,Sicilia,
Spaghetti alla Chitarra,Abruzzo,
Spaghetti di Lari,Toscana,Spaghetti di campagna
Spaghettini,Campania,
Stelline,Emilia-Romagna,Little stars
Strangozzi,Umbria,"Umbricelli, Ciriole, Stringozzi"
Strangolapreti,Trentino-Alto Adige,
Stricchetti,Emilia-Romagna,"Farfallini, Scrichèt, Fiuchèt"
Strozzapreti,Emilia-Romagna; Umbria; Lazio; Toscana,Strozaprit
Tacconelle,Abruzzo; Molise,"Taccozze, Sagne a pezze"
Tagliatelle,Emilia-Romagna; Basilicata,"Tagliatella bolognese, Tajadèli, Tajadël, Lasagni"
Tagliatelle di castagne,Lazio; Emilia-Romagna,
Tagliatelle verdi,Emilia-Romagna,"Tagliatelle verdi all'emiliana, Tajadeli verdi, Tajadёl verdi, Tajadèli verdi"
Tagliolini,Molise; Basilicata,"Tagliolini con il latte, Tagliolini dell'Ascenzione, Tagghjulìni ku u làtt, Tagliulini dell'Ascension"
Tajarin,Piemonte,Tagliolini
Tallaniusu,Sardegna,"Pasta po brodu, Tallaniusu cun casu, Pasta po su lori, Tallarinus"
Testaroli,Liguria,
Tonnarelli,Lazio,Spaghetti alla Chitarra (Abruzzo version)
Tortellacci,Emilia-Romagna,"Tortelloni, Turtlacc"
Tortellini,Emilia-Romagna; Veneto,Tortellini di Bologna; Tortellini di Valeggio sul Mincio
Tortelli,Emilia-Romagna; Toscana; Lombardia,"Tortelli alla lastra, Tortelli coi rosolacci, Tortelli con le ortiche, Tortelli d'erbetta, Tortelli di San Giuseppe, Tortelli di farina di castagne, Tortelli di mele, Tortelli di patate, Tortelli di ricotta, Tortelli di verza, Tortelli di zucca, Tortello di patate, Tortello maremmano, Tortelli cremaschi, Turtei cu la cua"
Tortello amaro,Lombardia,Tortello amaro di Castel Goffredo
Tortello del melo,Toscana,Raviolo
Tortello di Terzorio,Liguria,
Tortiglioni,Campania,Twisted
Trenette,Liguria,
Tripoline,Campania,
Troccoli,Puglia,
Trofie,Liguria,
Vesuvio,Campania,
Vermicelli,Campania,Little worms
Ziti,Campania,
Zitoni,Sicilia,Big spouses
