Continent,Country,Country_Code,Division,Latitude,Longitude,Capital,Cities
Europe,Italy,IT,Abruzzo,42.25,13.75,L’Aquila,"Pescara, Teramo, Montesilvano Marina, Chieti, Vasto"
Europe,Italy,IT,Aosta Valley,45.75,7.25,Aosta,"Aosta, Châtillon, Saint-Vincent, Pont-Saint-Martin, Quart"
Europe,Italy,IT,Apulia,41.00164,16.73378,Bari,"Bari, Taranto, Foggia, Andria, Barletta"
Europe,Italy,IT,Basilicate,40.5041,16.11396,Potenza,"Matera, Potenza, Lavello, Melfi, Rionero in Vulture"
Europe,Italy,IT,Calabria,39,16.5,Catanzaro,"Reggio Calabria, Catanzaro, Lamezia Terme, Crotone, Cosenza"
Europe,Italy,IT,Campania,40.91056,14.92053,Naples,"Naples, Salerno, Torre del Greco, Pozzuoli, Giugliano in Campania"
Europe,Italy,IT,Emilia-Romagna,44.5444,10.98361,Bologna,"Bologna, Parma, Modena, Reggio Emilia, Rimini"
Europe,Italy,IT,Friuli Venezia Giulia,46,13,Trieste,"Trieste, Udine, Pordenone, Gorizia, Monfalcone"
Europe,Italy,IT,Lazio,42.07762,12.77878,Latina,"Rome, Acilia-Castel Fusano-Ostia Antica, Lido di Ostia, Latina, Aprilia"
Europe,Italy,IT,Liguria,44.5,8.83333,Genoa,"Genoa, La Spezia, Savona, Sanremo, Imperia"
Europe,Italy,IT,Lombardy,45.66667,9.5,Milan,"Milan, Brescia, Quarto Oggiaro, Monza, Bergamo"
Europe,Italy,IT,Molise,41.66667,14.5,Campobasso,"Campobasso, Termoli, Isernia, Venafro, Bojano"
Europe,Italy,IT,Piedmont,45,8,Turin,"Turin, Novara, Alessandria, Asti, Moncalieri"
Europe,Italy,IT,Sardinia,40,9,Cagliari,"Cagliari, Sassari, Quartu Sant'Elena, Olbia, Monte Rosello"
Europe,Italy,IT,Sicily,37.75,14.25,Palermo,"Palermo, Catania, Messina, Syracuse, Marsala"
Europe,Italy,IT,The Marches,43.5,13.25,Ancona,"Ancona, Pesaro, Fano, San Benedetto del Tronto, Civitanova Marche"
Europe,Italy,IT,Trentino-Alto Adige,46.5,11.33333,Trento,"Trento, Bolzano, Merano, Rovereto, Riva del Garda"
Europe,Italy,IT,Tuscany,43.41667,11,Florence,"Florence, Prato, Livorno, Pisa, Arezzo"
Europe,Italy,IT,Umbria,43,12.5,Perugia,"Perugia, Terni, Foligno, Città di Castello, Spoleto"
Europe,Italy,IT,Veneto,45.5,11.75,Venice,"Verona, Padua, Mestre, Vicenza, Treviso"
